most common,
Book ,0.434512725
Business ,0.527622595
Catalogs ,0.124146493
Education ,3.662321539
Entertainment ,7.883302297
Finance ,1.117318436
Food & Drink ,0.806952204
Games ,58.16263191
Health & Fitness ,2.017380509
Lifestyle ,1.582867784
Medical ,0.186219739
Music ,2.048417132
Navigation ,0.186219739
News ,1.334574798
Photo & Video ,4.965859714
Productivity ,1.7380509
Reference ,0.558659218
Shopping ,2.60707635
Social Networking ,3.289882061
Sports ,2.141527002
Travel ,1.241464929
Utilities ,2.51396648
Weather ,0.86902545
